N,Código del producto,Vendedor,Descripción,Precio unitario,Cantidad,Precio total,Link,Comentarios/Justificación,Imagen de referencia,¿Da boleta?
1,MLCU66439997,Mercado libre (Minifiestascl),Banda de compresión muslera,"$11,100",1,"$11,100 ",https://www.mercadolibre.cl/muslera-compresion-pierna-neopreno-velcro-kinesiologica/up/MLCU66439997?pdp_filters=item_id%3AMLC935274956&from=gshop&matt_tool=83960881&matt_word=&matt_source=google&matt_campaign_id=23496417553&matt_ad_group_id=191387027985&matt_match_type=&matt_network=g&matt_device=c&matt_creative=794255799338&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=325961807&matt_product_id=MLCU66439997&matt_product_partition_id=2455498968423&matt_target_id=pla-2455498968423&cq_src=google_ads&cq_cmp=23496417553&cq_net=g&cq_plt=gp&cq_med=pla&gad_source=1&gad_campaignid=23496417553&gbraid=0AAAAADxxu6rIf_2BH-Zrylm70P5aysz2G&gclid=CjwKCAjwhe3OBhABEiwA6392zElYR0jdzsvrJe-76QWIeebpPGBLDIHaW_XmucGmGC9c6YbIW81H0hoCw74QAvD_BwE,Soporte para pruebas: en esta banda de montará el sistema del LiDAR para realizar pruebas previas a la propuesta de instalación del sensor en la protesis,Imagen,"Sí, por aplicación"
2,SKU: 2672,AFEL,Filamento Impresión 3D PLA 1.75mm 1kg,"$13,000",2,"$26,000 ",https://afel.cl/products/filamento-pla-blanco-artillery-1-75mm-1kg,Soporte para pruebas: necesitamos imprimir el soporte donde montaremos el LiDAR y los demas componentes del sistema junto al agarre a la banda,,"Sí, formato físico"
3,MLCU17789623,Mercado Libre (GIRASOL91028),Kit 830 Puntos De Conexión Componentes Electronicos,"$10,760",1,"$10,760 ",https://www.mercadolibre.cl/kit-830-puntos-de-conexion-componentes-electronicos/up/MLCU17789623#polycard_client=search-desktop&search_layout=grid&position=2&type=product&tracking_id=6e14ec71-210f-4388-ba87-9b4107799f0f&wid=MLC1624611106&sid=search,Soporte para pruebas: necesitamos componentes varios para hacer pruebas y prototipos.,,"Sí, por aplicación"
4,MLCU207978073,Mercado Libre (CIMECH 3D),Tornillos M3 10mm (100 uds),"$6,581",1,"$6,581 ",https://www.mercadolibre.cl/pack-x100u-perno-allen-m3-negro-cabeza-boton-10mm/up/MLCU207978073?pdp_filters=item_id%3AMLC2269180836&from=gshop&matt_tool=94957953&matt_word=&matt_source=google&matt_campaign_id=22116391410&matt_ad_group_id=173057293149&matt_match_type=&matt_network=g&matt_device=c&matt_creative=729566852779&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=531116824&matt_product_id=MLCU207978073&matt_product_partition_id=2387500413747&matt_target_id=aud-1816071484013:pla-2387500413747&cq_src=google_ads&cq_cmp=22116391410&cq_net=g&cq_plt=gp&cq_med=pla&gad_source=1&gad_campaignid=22116391410&gbraid=0AAAAADxxu6qFhA1c0H4_x5l1kaZZEHF4L&gclid=CjwKCAjwhe3OBhABEiwA6392zAPnc-jsXFIRVOKonfsxR7ir1gH7063_xXVt_SJh8fW29aDy3D18axoCDxwQAvD_BwE,Soporte para pruebas: para unir las dos partes del prototipo 3D que agarran a la banda,,"Sí, por aplicación"
5,MLC64839071,Mercado libre (ThermalStar),Velcro Autoadhesivo,"$7,480",1,"$7,480 ",https://www.mercadolibre.cl/velcro-autoadhesivo-color-negro-5-metros-thermalstar/p/MLC64839071?pdp_filters=item_id%3AMLC1835672621&from=gshop&matt_tool=11244009&matt_word=&matt_source=google&matt_campaign_id=23496417526&matt_ad_group_id=192538752696&matt_match_type=&matt_network=g&matt_device=c&matt_creative=794255796917&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=735115857&matt_product_id=MLC64839071-product&matt_product_partition_id=2389651985213&matt_target_id=pla-2389651985213&cq_src=google_ads&cq_cmp=23496417526&cq_net=g&cq_plt=gp&cq_med=pla&gad_source=1&gad_campaignid=23496417526&gbraid=0AAAAADxxu6rGK6xHoF3IGKFQtuK-Msb_R&gclid=CjwKCAjwhe3OBhABEiwA6392zEUIpNvfwWlZWHNNExnaZTrLCSqRmoEfALgZZDY5m65oOgqQmBOPbxoCcSYQAvD_BwE,Soporte para pruebas: se utilizará para poder remover y ubicar facilmente la bateria en la banda utilizada. Se pegará una banda de velcro a la bateria que usaremos para alimentar el sistema con el objetivo de que se más simple cargarla,Imagen,"Sí, por aplicación"
6,MLC40911991,Mercado libre (AEPVENTAS),Bateria de alimentación,"$11,790",1,"$11,790 ",https://www.mercadolibre.cl/hocoj115-mini-bateria-portatil-5000mah-para-iphone-android-color-negro/p/MLC40911991?pdp_filters=item_id%3AMLC3297491990&from=gshop&matt_tool=44467648&matt_word=&matt_source=google&matt_campaign_id=22116391884&matt_ad_group_id=172632297119&matt_match_type=&matt_network=g&matt_device=c&matt_creative=729648298310&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=735119326&matt_product_id=MLC40911991-product&matt_product_partition_id=2391894693504&matt_target_id=aud-1816071484013:pla-2391894693504&cq_src=google_ads&cq_cmp=22116391884&cq_net=g&cq_plt=gp&cq_med=pla&gad_source=4&gad_campaignid=22116391884&gclid=CjwKCAjwhe3OBhABEiwA6392zOAuMcZBPQmgULjYYGP0dwPKCmKrfYq_pXtzMboCIVhTvXxt8qbs8BoCudQQAvD_BwE,Soporte para pruebas: se utilizará para alimentar el sistema (5000 mAh),,"Sí, por aplicación"
7,MLC3794095466,Mercado libre (JUGUTESCONTROLRC),IMU BNO055,"$28,678",1,"$28,678 ",https://articulo.mercadolibre.cl/MLC-3794095466-rupture-sensor-module-bno055-9-dof-sip-acelerometer-_JM?matt_tool=16931662,Implementación: se utilizará para determinar el angulo de inclinación de la pierna en tiempo real. Comentario: No se encontró un proveedor local confiable y a un precio razonable,,"Sí, por aplicación"
8,MLCU30524425,Mercado libre (OLEALOPEZJORGE),Conversor 5V-5V,"$7,980",1,"$7,980 ",https://www.mercadolibre.cl/convertidor-aislado-5v-a-5v-b0505s1w-arduino-pic/up/MLCU30524425?pdp_filters=SHIPPING_ORIGIN%3A10215068#polycard_client=search-desktop&search_layout=grid&position=5&type=product&tracking_id=46aa3c82-171b-49a4-80e9-f0035ec9bab6&wid=MLC447961230&sid=search,Alimentación Motor DC LIDAR 2D,,"Sí, por aplicación"
9,MLCU34594800,Mercado libre (SERVIEXPRESSIMPORT),NE555,"$2,490",1,"$2,490 ",https://www.mercadolibre.cl/ne555-pack-de-5--clock-555-arduino-y-raspberry-pi-y-otros/up/MLCU34594800#polycard_client=search-desktop&search_layout=grid&position=7&type=product&tracking_id=b6ad5bf4-7600-4802-aa9d-95cfaf1d9ec1&wid=MLC984300630&sid=search,Control de Velocidad del Motor DC,,"Sí, por aplicación"
10,SKU MK484KY873-1,Paris.cl,RASPBERRY PI 5 shield,"$6,280",1,"$6,280 ",https://www.paris.cl/mci-proto-pi-shield-de-prototipaje-para-raspberry-pi-mci-electronics-MK484KY873.html,Solicitado por la contraparte para mayor modulación en la aplicación,,"Sí, por aplicación"
